iso3,country,year,value
AGO,Angola,2024,258.9
BDI,Burundi,2024,314.9
BEN,Benin,2024,354.25
BFA,Burkina Faso,2024,353.49
BWA,Botswana,2024,0.2
CAF,Central African Republic,2024,343.84
CIV,Cote d'Ivoire,2024,267.95
CMR,Cameroon,2024,260.46
COD,"Congo, Dem. Rep.",2024,321.89
COG,"Congo, Rep.",2024,221.02
COM,Comoros,2024,62.79
CPV,Cabo Verde,2024,0.14
DZA,Algeria,2024,0
EGY,"Egypt, Arab Rep.",2024,0
ERI,Eritrea,2024,102.42
ETH,Ethiopia,2024,138.5
GAB,Gabon,2024,187
GHA,Ghana,2024,195.77
GIN,Guinea,2024,286.08
GMB,"Gambia, The",2024,75.44
GNB,Guinea-Bissau,2024,110.13
GNQ,Equatorial Guinea,2024,227.73
KEN,Kenya,2024,74.17
LBR,Liberia,2024,172.34
MAR,Morocco,2024,0
MDG,Madagascar,2024,255.45
MLI,Mali,2024,346.22
MOZ,Mozambique,2024,295.1
MRT,Mauritania,2024,69.55
MWI,Malawi,2024,294.53
NAM,Namibia,2024,7.2
NER,Niger,2024,305.14
NGA,Nigeria,2024,294.25
RWA,Rwanda,2024,77.14
SDN,Sudan,2024,98.25
SEN,Senegal,2024,36.78
SLE,Sierra Leone,2024,282.67
SOM,"Somalia, Fed. Rep.",2024,53.28
SSD,South Sudan,2024,254.08
STP,Sao Tome and Principe,2024,30.09
SWZ,Eswatini,2024,0.55
TCD,Chad,2024,206.14
TGO,Togo,2024,249.25
TZA,Tanzania,2024,136.73
UGA,Uganda,2024,264.23
ZAF,South Africa,2024,0.11
ZMB,Zambia,2024,252.41
ZWE,Zimbabwe,2024,11.36
