ym,temp,humidity,rain_mm_day,region,year,month,rain_mm_month
201401,27.72,70.76,0.75,Western North,2014,1,22.799999999999997
201402,28.27,67.16,1.38,Western North,2014,2,41.952
201403,26.73,80.41,5.13,Western North,2014,3,155.952
201404,26.14,87.72,7.5,Western North,2014,4,228
201405,25.89,89.99,5.52,Western North,2014,5,167.808
201406,25.21,91,11.07,Western North,2014,6,336.528
201407,24.33,89.76,4.18,Western North,2014,7,127.07199999999999
201408,23.94,88.31,2.98,Western North,2014,8,90.592
201409,24.36,88.97,5.87,Western North,2014,9,178.448
201410,25.13,88.56,5.46,Western North,2014,10,165.98399999999998
201411,25.58,86.97,3.53,Western North,2014,11,107.31199999999998
201412,26.01,75.75,1.34,Western North,2014,12,40.736
201501,26.45,62.29,0.57,Western North,2015,1,17.328
201502,26.88,78.84,3.61,Western North,2015,2,109.74399999999999
201503,26.81,83,7.31,Western North,2015,3,222.224
201504,26.05,89.37,6.99,Western North,2015,4,212.496
201505,25.77,90.47,4.84,Western North,2015,5,147.136
201506,24.83,91.03,13.31,Western North,2015,6,404.624
201507,24.37,89.86,3.23,Western North,2015,7,98.192
201508,24.33,87.89,1.06,Western North,2015,8,32.224
201509,25.32,83.47,2.33,Western North,2015,9,70.832
201510,25.7,88.26,10.36,Western North,2015,10,314.94399999999996
201511,25.86,87.18,5.93,Western North,2015,11,180.272
201512,23.97,71.69,0.75,Western North,2015,12,22.799999999999997
201601,26.13,60.73,0.27,Western North,2016,1,8.208
201602,28.3,62.19,1.37,Western North,2016,2,41.648
201603,28.22,77.66,4.9,Western North,2016,3,148.96
201604,27.22,85.32,4.02,Western North,2016,4,122.20799999999998
201605,26.22,87.56,7.54,Western North,2016,5,229.21599999999998
201606,24.89,90.18,7.15,Western North,2016,6,217.36
201607,24.55,88.09,1.69,Western North,2016,7,51.376
201608,25.03,83.05,3.25,Western North,2016,8,98.8
201609,24.91,87.72,6.36,Western North,2016,9,193.344
201610,25.66,89,8.48,Western North,2016,10,257.792
201611,25.96,88.13,3.53,Western North,2016,11,107.31199999999998
201612,25.8,84.11,1.55,Western North,2016,12,47.12
201701,26.31,75.6,2.02,Western North,2017,1,61.407999999999994
201702,27.17,77.68,1.8,Western North,2017,2,54.72
201703,27.02,82.16,3.52,Western North,2017,3,107.008
201704,26.64,86.44,5.03,Western North,2017,4,152.912
201705,26.14,88.82,7.03,Western North,2017,5,213.712
201706,25.05,91.74,11.38,Western North,2017,6,345.952
201707,24.23,90.02,3.33,Western North,2017,7,101.232
201708,24.27,87.92,1.94,Western North,2017,8,58.976
201709,24.87,87.49,4.83,Western North,2017,9,146.832
201710,25.5,89.08,8.78,Western North,2017,10,266.912
201711,25.52,88.34,4.73,Western North,2017,11,143.792
201712,25.55,81.28,1.61,Western North,2017,12,48.944
201801,26.16,74.15,0.21,Western North,2018,1,6.3839999999999995
201802,27.55,76.93,4.9,Western North,2018,2,148.96
201803,25.96,87.5,5.38,Western North,2018,3,163.552
201804,25.86,88.81,4.84,Western North,2018,4,147.136
201805,25.46,90.18,8.09,Western North,2018,5,245.93599999999998
201806,24.91,90.74,9.81,Western North,2018,6,298.224
201807,24.28,90.47,4.53,Western North,2018,7,137.712
201808,24.12,88.12,2.98,Western North,2018,8,90.592
201809,24.7,89.37,4.45,Western North,2018,9,135.28
201810,25.41,89.12,7.71,Western North,2018,10,234.384
201811,25.87,87.55,4.16,Western North,2018,11,126.464
201812,25.8,75.5,0.42,Western North,2018,12,12.767999999999999
201901,26.95,70.29,0.69,Western North,2019,1,20.976
201902,27.83,73.75,2.07,Western North,2019,2,62.92799999999999
201903,27.61,77.24,3.42,Western North,2019,3,103.96799999999999
201904,26.78,87.53,7.93,Western North,2019,4,241.07199999999997
201905,25.98,89.88,6.84,Western North,2019,5,207.93599999999998
201906,25.27,90.34,6.76,Western North,2019,6,205.504
201907,24.63,89.41,3.75,Western North,2019,7,114
201908,24.49,86.68,2.16,Western North,2019,8,65.664
201909,25.3,87.97,6.91,Western North,2019,9,210.064
201910,25.04,90.92,12.97,Western North,2019,10,394.288
201911,26.09,87.64,4.03,Western North,2019,11,122.512
201912,25.84,80.67,1.21,Western North,2019,12,36.784
202001,25.54,68.72,0.16,Western North,2020,1,4.864
202002,28.06,61.58,0.42,Western North,2020,2,12.767999999999999
202003,27.34,81.73,5.92,Western North,2020,3,179.968
202004,26.8,85.75,4.57,Western North,2020,4,138.928
202005,26.37,88.66,8.24,Western North,2020,5,250.49599999999998
202006,25.13,90.73,11.71,Western North,2020,6,355.98400000000004
202007,23.98,90.47,4.46,Western North,2020,7,135.584
202008,23.63,86.86,0.73,Western North,2020,8,22.192
202009,25.03,86.4,6.73,Western North,2020,9,204.592
202010,25.44,88.65,11.79,Western North,2020,10,358.41599999999994
202011,25.66,88.35,6.03,Western North,2020,11,183.312
202012,25.65,86.43,2.47,Western North,2020,12,75.08800000000001
202101,25.71,85.75,2.82,Western North,2021,1,85.728
202102,26.04,86.3,3.73,Western North,2021,2,113.392
202103,25.68,88.84,6.47,Western North,2021,3,196.688
202104,25.86,90.43,5.36,Western North,2021,4,162.944
202105,25.82,90.26,4.56,Western North,2021,5,138.624
202106,25.24,89.8,6.09,Western North,2021,6,185.136
202107,24.24,89.38,5.68,Western North,2021,7,172.672
202108,24.4,88.9,4.78,Western North,2021,8,145.312
202109,24.83,89.9,10.1,Western North,2021,9,307.03999999999996
202110,25.48,90.2,9.39,Western North,2021,10,285.456
202111,25.62,89.36,5.56,Western North,2021,11,169.02399999999997
202112,25.89,84.04,1.27,Western North,2021,12,38.608
202201,25.09,76.9,0.96,Western North,2022,1,29.183999999999997
202202,26.73,79.06,1.96,Western North,2022,2,59.583999999999996
202203,26.37,85.12,5.19,Western North,2022,3,157.776
202204,25.84,88.58,5.65,Western North,2022,4,171.76
202205,25.68,90.22,8.29,Western North,2022,5,252.01599999999996
202206,24.91,90.4,12.66,Western North,2022,6,384.864
202207,24.07,89.66,4.39,Western North,2022,7,133.456
202208,23.66,89.18,2.78,Western North,2022,8,84.51199999999999
202209,24.42,89.2,5.81,Western North,2022,9,176.62399999999997
202210,25.52,88.91,9.99,Western North,2022,10,303.69599999999997
202211,25.65,87.18,5.18,Western North,2022,11,157.47199999999998
202212,24.82,82.18,1.24,Western North,2022,12,37.696
202301,25.37,77.78,0.85,Western North,2023,1,25.84
202302,27.05,76.41,1.59,Western North,2023,2,48.336
202303,26.1,85.73,7.97,Western North,2023,3,242.28799999999998
202304,25.96,89.28,7.15,Western North,2023,4,217.36
202305,26.07,90.02,7.87,Western North,2023,5,239.248
202306,24.89,91.42,15.82,Western North,2023,6,480.928
202307,25.01,91.51,12.16,Western North,2023,7,369.664
202308,24.82,90.21,2.93,Western North,2023,8,89.072
202309,25.38,89.98,6.01,Western North,2023,9,182.70399999999998
202310,25.66,90.29,10.92,Western North,2023,10,331.96799999999996
202311,26.07,89.65,7.38,Western North,2023,11,224.35199999999998
202312,25.52,76.88,0.84,Western North,2023,12,25.535999999999998
202401,26.27,78.14,1.96,Western North,2024,1,59.583999999999996
202402,27.35,77.02,1.12,Western North,2024,2,34.048
202403,27.25,85.92,7.05,Western North,2024,3,214.32
202404,27.19,86.94,3.59,Western North,2024,4,109.136
202405,26.73,89.06,6.73,Western North,2024,5,204.592
202406,25.7,90.39,9.67,Western North,2024,6,293.96799999999996
202407,24.74,89.23,1.85,Western North,2024,7,56.24
202408,24.64,86.15,2.46,Western North,2024,8,74.78399999999999
202409,26.04,79.94,2.22,Western North,2024,9,67.488
202410,25.85,88.08,16.77,Western North,2024,10,509.80799999999994
202411,25.86,85.95,2.75,Western North,2024,11,83.6
202412,25.12,78.68,0.73,Western North,2024,12,22.192
201401,28.24,56.95,0.63,Ahafo,2014,1,19.151999999999997
201402,29.25,52.55,0.88,Ahafo,2014,2,26.752
201403,27.35,72.21,3.82,Ahafo,2014,3,116.12799999999999
201404,26.59,82.61,6.21,Ahafo,2014,4,188.784
201405,26,86.73,4.61,Ahafo,2014,5,140.144
201406,25.26,88.98,8.77,Ahafo,2014,6,266.60799999999995
201407,24.53,88.17,3.55,Ahafo,2014,7,107.91999999999999
201408,23.99,87.52,2.92,Ahafo,2014,8,88.768
201409,24.36,87.92,6.26,Ahafo,2014,9,190.30399999999997
201410,25.17,86.96,4.91,Ahafo,2014,10,149.264
201411,25.34,85.24,2.87,Ahafo,2014,11,87.248
201412,26.04,66.33,0.87,Ahafo,2014,12,26.448
201501,26.29,45.81,0.19,Ahafo,2015,1,5.776
201502,27.65,68.65,3.15,Ahafo,2015,2,95.75999999999999
201503,27.44,73.73,5.21,Ahafo,2015,3,158.384
201504,26.27,84.49,5.68,Ahafo,2015,4,172.672
201505,25.86,87.73,4.69,Ahafo,2015,5,142.576
201506,25.02,88.79,8.76,Ahafo,2015,6,266.304
201507,24.65,87.56,2.91,Ahafo,2015,7,88.464
201508,24.84,84.13,1.62,Ahafo,2015,8,49.248
201509,26.16,77.68,3,Ahafo,2015,9,91.19999999999999
201510,25.89,85.66,9.06,Ahafo,2015,10,275.424
201511,25.65,81.75,2.94,Ahafo,2015,11,89.37599999999999
201512,23.91,54.66,0.22,Ahafo,2015,12,6.688
201601,26.31,39.06,0.06,Ahafo,2016,1,1.8239999999999998
201602,28.81,39.01,0.76,Ahafo,2016,2,23.104
201603,28.86,70.06,5.97,Ahafo,2016,3,181.48799999999997
201604,27.88,78.13,2.68,Ahafo,2016,4,81.472
201605,26.92,80.39,7.16,Ahafo,2016,5,217.664
201606,24.86,88.98,5.48,Ahafo,2016,6,166.592
201607,24.68,86.08,1.94,Ahafo,2016,7,58.976
201608,25.77,78.42,2.52,Ahafo,2016,8,76.60799999999999
201609,25.26,83.95,6.55,Ahafo,2016,9,199.11999999999998
201610,25.69,85.95,5.95,Ahafo,2016,10,180.88
201611,26.14,81.59,2.01,Ahafo,2016,11,61.10399999999999
201612,26.38,68.29,0.73,Ahafo,2016,12,22.192
201701,27.25,54.56,0.72,Ahafo,2017,1,21.887999999999998
201702,28.54,59,0.92,Ahafo,2017,2,27.968
201703,28.65,68.87,2.26,Ahafo,2017,3,68.704
201704,28.08,73.92,3.62,Ahafo,2017,4,110.048
201705,27.18,79.81,5.13,Ahafo,2017,5,155.952
201706,25.19,88.57,10.28,Ahafo,2017,6,312.51199999999994
201707,24.36,88.53,3.42,Ahafo,2017,7,103.96799999999999
201708,24.69,84.64,2.07,Ahafo,2017,8,62.92799999999999
201709,25.33,83.97,5.37,Ahafo,2017,9,163.248
201710,25.46,86.13,7.84,Ahafo,2017,10,238.33599999999998
201711,25.43,83.46,2.71,Ahafo,2017,11,82.384
201712,25.98,66.89,0.59,Ahafo,2017,12,17.936
201801,26.56,50.14,0.07,Ahafo,2018,1,2.128
201802,28.77,60.46,3.84,Ahafo,2018,2,116.73599999999999
201803,27.08,76.72,3.17,Ahafo,2018,3,96.368
201804,26.79,79.56,3.57,Ahafo,2018,4,108.52799999999999
201805,25.98,83.99,5.34,Ahafo,2018,5,162.33599999999998
201806,24.95,88.39,9.77,Ahafo,2018,6,297.008
201807,24.22,89.2,4.17,Ahafo,2018,7,126.76799999999999
201808,24.13,87.23,4.41,Ahafo,2018,8,134.064
201809,24.46,89.25,5.86,Ahafo,2018,9,178.144
201810,25.45,86.52,5.45,Ahafo,2018,10,165.68
201811,25.84,83.47,2.53,Ahafo,2018,11,76.91199999999999
201812,25.37,62.24,0.12,Ahafo,2018,12,3.6479999999999997
201901,27.3,53.58,0.22,Ahafo,2019,1,6.688
201902,28.53,58.05,0.96,Ahafo,2019,2,29.183999999999997
201903,28.59,66.24,3.41,Ahafo,2019,3,103.664
201904,27.43,79.56,4.84,Ahafo,2019,4,147.136
201905,26.43,83.79,4.32,Ahafo,2019,5,131.328
201906,25.42,87.68,5.42,Ahafo,2019,6,164.768
201907,24.93,85.85,3.59,Ahafo,2019,7,109.136
201908,25.42,79.77,2.64,Ahafo,2019,8,80.256
201909,25.14,86.77,6.39,Ahafo,2019,9,194.25599999999997
201910,24.89,89.35,12.4,Ahafo,2019,10,376.96
201911,26.05,83.33,2.11,Ahafo,2019,11,64.14399999999999
201912,25.3,72.04,0.41,Ahafo,2019,12,12.463999999999999
202001,25.56,52.97,0.02,Ahafo,2020,1,0.608
202002,27.93,45.75,0.33,Ahafo,2020,2,10.032
202003,27.84,74.4,5.36,Ahafo,2020,3,162.944
202004,27.23,79.95,3.54,Ahafo,2020,4,107.616
202005,26.53,85.38,8.17,Ahafo,2020,5,248.368
202006,25.1,89.22,9.61,Ahafo,2020,6,292.14399999999995
202007,24.08,89.51,4.96,Ahafo,2020,7,150.784
