iso3,country,year,value
GHA,Ghana,2024,195.77
GHA,Ghana,2023,194.92
GHA,Ghana,2022,210.79
GHA,Ghana,2021,212.47
GHA,Ghana,2020,219.63
GHA,Ghana,2019,215.27
GHA,Ghana,2018,212.76
GHA,Ghana,2017,226.19
GHA,Ghana,2016,244.92
GHA,Ghana,2015,275.99
GHA,Ghana,2014,313.81
GHA,Ghana,2013,344.33
GHA,Ghana,2012,367.32
GHA,Ghana,2011,375.14
GHA,Ghana,2010,366.4
GHA,Ghana,2009,340.42
GHA,Ghana,2008,314.58
GHA,Ghana,2007,305.83
GHA,Ghana,2006,311.34
GHA,Ghana,2005,323.73
GHA,Ghana,2004,340.21
GHA,Ghana,2003,365.98
GHA,Ghana,2002,392.1
GHA,Ghana,2001,411.18
GHA,Ghana,2000,430.36
